quarter,stock,date,open,high,low,close,volume,percent_change_price,percent_change_volume_over_last_wk,previous_weeks_volume,next_weeks_open,next_weeks_close,days_to_next_dividend,percent_return_next_dividend,percent_change_next_weeks_price
1,AA,1/7/2011,$15.82,$16.72,$15.78,$16.42,239655616,3.79267,,,$16.71,$15.97,26,0.182704,-4.42849
1,AA,1/14/2011,$16.71,$16.71,$15.64,$15.97,242963398,-4.42849,1.380223028,239655616.0,$16.19,$15.79,19,0.187852,-2.47066
1,AA,1/21/2011,$16.19,$16.38,$15.60,$15.79,138428495,-2.47066,-43.02495926,242963398.0,$15.87,$16.13,12,0.189994,1.63831
1,AA,1/28/2011,$15.87,$16.63,$15.82,$16.13,151379173,1.63831,9.355500109,138428495.0,$16.18,$17.14,5,0.185989,5.93325
1,AA,2/4/2011,$16.18,$17.39,$16.18,$17.14,154387761,5.93325,1.987451735,151379173.0,$17.33,$17.37,97,0.175029,0.230814
1,AA,2/11/2011,$17.33,$17.48,$16.97,$17.37,114691279,0.230814,-25.71219489,154387761.0,$17.39,$17.28,90,0.172712,-0.632547
1,AA,2/18/2011,$17.39,$17.68,$17.28,$17.28,80023895,-0.632547,-30.22669579,114691279.0,$16.98,$16.68,83,0.173611,-1.76678
1,AA,2/25/2011,$16.98,$17.15,$15.96,$16.68,132981863,-1.76678,66.17769355,80023895.0,$16.81,$16.58,76,0.179856,-1.36823
1,AA,3/4/2011,$16.81,$16.94,$16.13,$16.58,109493077,-1.36823,-17.66315005,132981863.0,$16.58,$16.03,69,0.180941,-3.31725
1,AA,3/11/2011,$16.58,$16.75,$15.42,$16.03,114332562,-3.31725,4.419900447,109493077.0,$15.95,$16.11,62,0.187149,1.00313
1,AA,3/18/2011,$15.95,$16.33,$15.43,$16.11,130374108,1.00313,14.03060136,114332562.0,$16.38,$17.09,55,0.18622,4.33455
1,AA,3/25/2011,$16.38,$17.24,$16.26,$17.09,95550392,4.33455,-26.71060729,130374108.0,$17.13,$17.47,48,0.175541,1.98482
1,AXP,1/7/2011,$43.30,$45.60,$43.11,$44.36,45102042,2.44804,,,$44.20,$46.25,89,0.405771,4.63801
1,AXP,1/14/2011,$44.20,$46.25,$44.01,$46.25,25913713,4.63801,-42.54425775,45102042.0,$46.03,$46.00,82,0.389189,-0.0651749
1,AXP,1/21/2011,$46.03,$46.71,$44.71,$46.00,38824728,-0.0651749,49.82309945,25913713.0,$46.05,$43.86,75,0.391304,-4.7557
1,AXP,1/28/2011,$46.05,$46.27,$43.42,$43.86,51427274,-4.7557,32.4601012,38824728.0,$44.13,$43.82,68,0.410397,-0.70247
